정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,하이파크시티3.5단지,0,1,1,2,6,3,5,5,6,5,4,4,3,3,2,2,2,2,1,1,1,0,0,0
1,탄현큰마을.쌍용아파트,0,1,2,2,6,6,8,8,9,8,6,6,4,4,3,2,2,1,1,1,1,0,0,0
2,경남아너스빌.탄현역,0,1,3,4,8,10,12,10,12,12,8,7,6,6,5,4,4,4,3,2,2,0,0,0
3,서울도시가스,0,1,0,2,8,7,9,8,10,11,6,4,4,3,3,2,2,4,1,2,2,0,0,0
4,성저마을14단지,0,2,4,7,14,15,17,18,23,20,17,12,11,9,7,7,7,6,5,2,2,0,0,0
5,대화역,0,5,5,11,21,25,30,35,43,39,36,29,25,21,17,15,15,13,12,8,6,0,0,0
6,킨텍스,0,1,2,10,20,24,32,37,47,44,42,37,37,33,30,21,16,15,12,7,3,0,0,0
7,더샵그라비스타.힐스테이트일산,0,7,8,17,27,32,42,49,53,52,49,46,45,39,38,31,30,22,19,10,12,0,0,0
8,합정역,0,0,3,7,12,17,15,21,27,24,25,25,22,20,16,13,11,9,7,6,6,4,0,0
9,홍대입구역(중),0,0,2,5,6,8,9,10,10,10,10,9,9,9,8,7,6,6,4,4,5,3,0,0
10,신촌오거리.현대백화점(중),0,0,1,2,3,3,3,4,5,5,5,5,5,5,4,4,4,4,3,1,4,1,0,0
11,이화여대입구,0,0,0,0,1,1,2,2,3,2,3,2,3,3,2,2,2,2,2,1,2,0,0,0
12,서강대학교후문,0,0,0,0,1,0,1,1,2,1,2,1,2,2,1,1,1,1,0,0,2,0,0,0
13,공덕역1번출구,0,0,2,2,4,3,3,3,3,4,4,4,4,5,5,5,7,7,6,4,3,2,0,0
14,마포아트센터,0,0,2,2,3,3,3,3,3,3,4,3,3,3,4,4,4,6,5,4,2,1,0,0
15,신촌기차역입구,0,0,5,5,8,8,6,6,6,8,8,7,8,8,9,10,13,16,15,11,6,3,0,0
16,신촌오거리.현대백화점(중),0,0,8,7,11,11,11,10,11,14,13,14,14,13,15,17,24,31,27,22,13,7,0,0
17,홍대입구역(중),0,0,13,12,14,15,15,14,16,21,23,26,26,27,30,33,41,48,47,40,29,16,0,0
18,합정역,0,0,19,23,26,34,28,30,32,37,40,42,41,40,43,44,49,50,50,49,42,21,0,0
19,현대모터스튜디오고양,0,0,0,18,17,22,18,18,19,22,26,26,30,31,31,30,35,40,41,39,38,19,14,0
20,킨텍스,0,0,0,9,7,9,8,8,9,13,19,22,27,30,29,28,30,36,37,36,32,15,8,0
21,대화역,0,0,0,6,5,4,5,5,5,8,10,13,16,16,17,18,17,23,23,22,24,13,12,0
22,문촌마을1단지.성저마을15단지,0,0,0,4,2,2,2,2,3,5,6,10,9,12,12,13,12,16,16,16,18,10,10,0
23,서울도시가스,0,0,0,1,1,1,1,0,1,1,2,5,5,8,8,10,8,11,11,13,15,8,7,0
24,경남아너스빌.탄현역,0,0,0,2,2,1,1,1,1,2,4,6,5,7,8,7,7,9,10,10,10,6,4,0
25,탄현큰마을.쌍용아파트,0,0,0,2,1,1,1,0,1,1,1,3,3,4,5,4,5,5,6,5,6,3,2,0
26,하이파크시티3.5단지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
