정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
0,하이파크시티3.5단지,0,1,2,5,7,4,7,6,6,5,5,4,4,3,3,2,2,2,4,1,1,0,0,0
1,탄현큰마을.쌍용아파트,0,1,2,4,7,7,8,9,9,8,7,8,6,5,4,3,2,2,2,1,1,0,0,0
2,경남아너스빌.탄현역,0,2,3,6,10,10,11,12,13,11,9,10,8,7,6,4,4,3,4,4,4,0,0,0
3,서울도시가스,0,2,1,4,9,8,7,9,11,11,7,9,6,6,3,3,1,1,2,2,3,0,0,0
4,성저마을14단지,0,3,5,10,13,16,18,20,21,20,17,17,14,11,9,6,6,4,5,4,5,0,0,0
5,대화역,0,6,8,17,23,27,30,37,42,40,36,36,32,28,22,18,16,14,14,11,9,0,0,0
6,킨텍스,0,3,5,16,22,28,33,39,46,46,43,42,44,43,38,23,22,19,15,10,6,0,0,0
7,더샵그라비스타.힐스테이트일산,0,10,11,24,33,38,43,49,53,52,51,50,52,47,45,33,32,27,21,15,10,0,0,0
8,합정역,0,0,4,8,13,18,20,22,29,25,24,24,27,23,23,15,13,12,10,7,9,4,0,0
9,홍대입구역(중),0,0,2,5,6,10,10,10,11,10,9,10,9,9,10,7,6,6,6,6,10,5,0,0
10,신촌오거리.현대백화점(중),0,0,1,2,3,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,7,4,0,0
11,이화여대입구,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,3,0,0
12,서강대학교후문,0,0,0,0,0,1,2,1,1,2,1,2,2,1,2,0,0,1,1,1,5,3,0,0
13,공덕역1번출구,0,0,2,2,4,4,4,4,5,4,4,5,7,7,7,6,8,10,11,10,9,4,0,0
14,마포아트센터,0,0,3,2,4,4,4,4,4,4,3,4,6,7,5,5,6,8,10,9,6,2,0,0
15,신촌기차역입구,0,0,6,5,8,10,9,8,8,9,9,10,13,15,14,13,16,21,24,23,17,6,0,0
16,신촌오거리.현대백화점(중),0,0,8,8,12,16,13,13,15,15,15,17,20,24,23,20,27,35,41,40,30,13,0,0
17,홍대입구역(중),0,0,12,12,15,19,17,18,21,24,25,28,34,38,39,34,43,52,52,51,50,30,0,0
18,합정역,0,0,19,25,32,40,35,34,38,42,43,44,45,49,48,44,50,54,53,46,51,40,0,0
19,현대모터스튜디오고양,0,0,2,18,20,25,21,22,23,26,28,28,32,34,35,34,37,43,43,44,47,38,25,0
20,킨텍스,0,0,0,8,7,10,11,12,12,15,19,22,28,30,34,31,33,39,40,40,44,35,12,0
21,대화역,0,0,0,5,4,3,4,4,6,7,11,11,15,18,19,19,18,23,24,26,31,27,20,0
22,문촌마을1단지.성저마을15단지,0,0,0,2,2,1,2,2,4,4,7,7,9,13,14,12,13,15,17,18,23,21,15,0
23,서울도시가스,0,0,0,1,1,1,1,1,1,1,3,3,5,9,11,9,9,13,13,14,19,18,12,0
24,경남아너스빌.탄현역,0,0,0,2,2,1,1,1,2,2,3,4,5,8,9,8,7,9,10,13,12,12,7,0
25,탄현큰마을.쌍용아파트,0,0,0,1,1,0,1,1,1,1,2,2,3,4,5,5,4,6,7,7,7,7,3,0
26,하이파크시티3.5단지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
