정류장순번,정류장,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시
0,하이파크시티3.5단지,10,16,13,7,8,7,9,8,6,8,7,8,11,6,3,3,2,2,2,1,0,0
1,탄현큰마을.쌍용아파트,4,13,11,12,7,4,5,6,5,5,3,4,3,3,1,1,1,1,1,1,0,0
2,경남아너스빌.탄현역,2,10,12,8,6,6,5,4,6,5,4,4,4,4,3,2,2,3,2,3,0,0
3,서울도시가스,0,5,4,2,2,1,3,1,2,1,1,1,2,1,1,1,0,1,1,1,0,0
4,성저마을14단지,11,33,25,15,13,14,13,12,9,6,8,10,8,7,4,3,2,4,3,2,0,0
5,대화역,7,36,46,32,25,24,24,34,29,26,29,30,49,34,27,25,15,13,12,10,0,0
6,킨텍스,3,24,8,11,6,6,10,17,18,24,31,47,43,37,13,8,6,2,1,1,0,0
7,더샵그라비스타.힐스테이트일산,20,48,26,40,40,39,33,32,27,27,25,40,46,36,44,42,23,16,10,6,0,0
8,합정역,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
9,홍대입구역(중),0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0
10,신촌오거리.현대백화점(중),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
11,이화여대입구,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
12,서강대학교후문,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,공덕역1번출구,0,2,3,7,5,4,4,4,6,8,12,22,53,123,69,49,42,44,24,13,5,0
14,마포아트센터,0,1,2,2,2,1,1,1,2,1,2,6,6,7,6,6,6,6,3,2,1,0
15,신촌기차역입구,0,1,4,5,5,4,4,6,8,9,15,26,53,58,42,59,61,60,40,16,4,0
16,신촌오거리.현대백화점(중),0,1,6,12,10,7,7,10,12,11,14,19,20,13,14,34,31,40,35,22,10,0
17,홍대입구역(중),0,2,19,35,37,15,12,19,21,22,28,30,29,19,21,34,27,36,40,46,18,0
18,합정역,0,4,45,51,74,48,35,44,39,40,39,32,23,20,17,20,15,15,26,25,19,0
19,현대모터스튜디오고양,0,0,2,2,1,0,1,1,1,1,1,2,4,3,4,3,2,2,2,2,0,0
20,킨텍스,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0
21,대화역,0,0,0,0,0,1,0,1,1,1,3,4,2,3,3,3,2,3,3,3,2,1
22,문촌마을1단지.성저마을15단지,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
23,서울도시가스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,경남아너스빌.탄현역,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
25,탄현큰마을.쌍용아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,하이파크시티3.5단지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
